skeleton	glycans	primary_class	oversized	unsaturated	open_chain	polyol	undersized	no_anomeric	unknown_stereo	nC	first	last
o221h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2221h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2221m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o222m	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_METHYL_L
o2611m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o2O22h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2Xh	1	open_chain	0	0	1	0	1	1	1	4	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2d11m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o2d12h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2d12m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o2d22h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2d22m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
o2dd2h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o2x2xh	1	open_chain	0	0	1	0	0	1	1	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
o512h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o522h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o612h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
o622h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
oO112h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
oO121h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
oO122h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
