skeleton	glycans	rescodes	nC	first	last	nAnomer	nStereoDef	nStereoUnk	nDeoxy	nUndef	nCarbonyl	nAcid	nDouble	nTriple	nSP3	nSP2	nSP	nSPX	unknownChars
a1x2xA	36	9	6	SZX_ANOMER	SZ2_ACID_U	1	2	2	0	0	0	1	0	0	5	1	0	0	-
ha2x2h	36	11	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	6	0	0	0	-
a122xh	35	22	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
a1d22h	35	18	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	1	0	0	0	0	0	6	0	0	0	-
adx2xh	35	15	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	2	1	0	0	0	0	0	6	0	0	0	-
a1212A	34	11	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
ax22h	33	20	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
axx21A	33	6	6	SZX_ANOMER	SZ2_ACID_U	1	2	2	0	0	0	1	0	0	5	1	0	0	-
A2122h	32	9	6	SZ2_ACID_U	SZ3_HYDROXYL	0	4	0	0	0	0	1	0	0	5	1	0	0	-
Aadxxx22h	32	12	9	SZ2_ACID_U	SZ3_HYDROXYL	1	2	3	1	0	0	1	0	0	8	1	0	0	-
axx1h	32	18	5	SZX_ANOMER	SZ3_HYDROXYL	1	1	2	0	0	0	0	0	0	5	0	0	0	-
Aad11122h	31	9	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
a1212m	31	15	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
ax21xA	31	12	6	SZX_ANOMER	SZ2_ACID_U	1	2	2	0	0	0	1	0	0	5	1	0	0	-
Aad211xxh	30	17	9	SZ2_ACID_U	SZ3_HYDROXYL	1	3	2	1	0	0	1	0	0	8	1	0	0	-
a21xxh	30	14	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
adxxh	30	28	5	SZX_ANOMER	SZ3_HYDROXYL	1	0	2	1	0	0	0	0	0	5	0	0	0	-
haxx2h	30	13	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	1	2	0	0	0	0	0	0	6	0	0	0	-
Aadx1x22h	29	16	9	SZ2_ACID_U	SZ3_HYDROXYL	1	3	2	1	0	0	1	0	0	8	1	0	0	-
a2121m	29	16	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
ad12h	29	27	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	0	1	0	0	0	0	0	5	0	0	0	-
axxx2h	29	16	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
h2211m	29	1	6	SZ3_HYDROXYL	SZ3_METHYL_L	0	4	0	1	0	0	0	0	0	6	0	0	0	-
a1111m	28	15	6	SZX_ANOMER	SZ3_METHYL_L	1	4	0	1	0	0	0	0	0	6	0	0	0	-
