map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*CNCC^SO(CCCCCCCCCNC$12/11C$7/8)SNC^RCO/21C/20CC^S$5/26C/19=O/19=O/3C	1	1	29	21	4	3	1	0	0	12	3	2	6,6,8	0	0	3	C
*CNCC^SO(CCCCCCCCCNC$12/11C$7/8)SNC^SCO/21C/20CC^R$5/26C/19=O/19=O/3C	1	1	29	21	4	3	1	0	0	12	3	2	6,6,8	0	0	3	C
*CNCC^SO(CCCCCCCCCNC$12/11C$7/8)SNC^SCO/21C/20CC^S$5/26C/19=O/19=O/3C	1	1	29	21	4	3	1	0	0	12	3	2	6,6,8	0	0	3	C
*CNCC^SO(CCCCCN$7/10)C=^XCC(/8)CNC^RCO/18C/17CC^R$5/23C/16=O/3C/2=O	1	1	26	19	4	3	0	0	0	6	2	1	6,8	2	0	3	C
*CNCC^SO(CCCCCN$7/10)C=^XCC(/8)CNC^RCO/18C/17CC^S$5/23C/16=O/3C/2=O	1	1	26	19	4	3	0	0	0	6	2	1	6,8	2	0	3	C
*CNCC^SO(CCCCCN$7/10)C=^XCC(/8)CNC^SCO/18C/17CC^R$5/23C/16=O/3C/2=O	1	1	26	19	4	3	0	0	0	6	2	1	6,8	2	0	3	C
*CNCC^SO(CCCCCN$7/10)C=^XCC(/8)CNC^SCO/18C/17CC^S$5/23C/16=O/3C/2=O	1	1	26	19	4	3	0	0	0	6	2	1	6,8	2	0	3	C
*CNCC^SO(CCCCCN$7/10)CCCCC$13(/8)CNC^RCO/20C/19CC^R$5/25C/18=O/3C/2=O	1	1	28	21	4	3	0	0	0	6	3	1	5,6,8	2	0	3	C
*CNCC^SO(CCCCCN$7/10)CCCCC$13(/8)CNC^RCO/20C/19CC^S$5/25C/18=O/3C/2=O	1	1	28	21	4	3	0	0	0	6	3	1	5,6,8	2	0	3	C
*CNCC^SO(CCCCCN$7/10)CCCCC$13(/8)CNC^SCO/20C/19CC^R$5/25C/18=O/3C/2=O	1	1	28	21	4	3	0	0	0	6	3	1	5,6,8	2	0	3	C
*CNCC^SO(CCCCCN$7/10)CCCCC$13(/8)CNC^SCO/20C/19CC^S$5/25C/18=O/3C/2=O	1	1	28	21	4	3	0	0	0	6	3	1	5,6,8	2	0	3	C
*CNC^R(CCCCCC$5/9)Br(/6)NC^SC^RCC$3/14$4/13CO/2=O	1	1	18	13	2	2	0	0	1	6	3	1	5,5,6	1	0	2	C
*CNC^R(CCCCCCCC$7/8N$5/10)OC(/6)CCCNC(CCCCCC$21/23)F/19CC$16/16C$3/4CO/2=O	1	1	32	25	3	3	0	0	1	15	5	3	5,6,6,6,6	1	0	1	C
*CNC^R(CCCCCCCC$7/8N$5/10)OC(/6)CCCNC(CNCCS$21)/19CC$16/16C$3/4CO/2=O	1	1	30	22	3	4	1	0	0	14	5	3	5,5,6,6,6	1	0	1	C
*CNC^R(CCCCCCCC$7/8N$5/10)OC(/6)CCCNSC/20=O/20=O/19CC$16/16C$3/4CO/2=O	1	1	28	19	5	3	1	0	0	9	4	2	5,6,6,6	1	0	1	C
*CNC^R(CCCCCCCC$7/8N$5/13)C(/10)OC(/6)CCCNC(CCCNCC$22)/21=O/20CC$17/17C$3/4CO/2=O	1	1	33	25	4	4	0	0	0	15	5	3	5,6,6,6,6	2	0	1	C
*CNC^R(CCCCCCCC$7/8N$5/13)C(/10)OC(/6)CCCNCCNC/23C/21=O/20CC$17/17C$3/4CO	1	1	30	23	3	4	0	0	0	9	4	2	5,6,6,6	1	0	2	C
*CNC^R(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^RC^RCC$3/20$4/19CO/2=O	1	1	24	19	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^R(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^RC^SCC$3/20$4/19CO/18C/2=O	1	1	25	20	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^R(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^SC^RCC$3/20$4/19CO/2=O	1	1	24	19	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^R(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^SC^SCC$3/20$4/19CO/18C/2=O	1	1	25	20	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^RCNCCC=^ECCCC$9/8=^ZCC$5/7=O/6CC^SC^SC^SCNC/22C/21=O/20$4/19CO/18$3	1	1	26	20	3	3	0	0	0	0	4	0	5,5,5,6	2	0	1	C
*CNC^RCNCCC=^XCC/8=^ZCC$5/7=O/6CC^SC^SC^SCOC/19=O/18$4/17CO/16$3	1	1	23	17	4	2	0	0	0	0	3	0	5,5,6	2	1	3	C
*CNC^RC^RCNCC=^ZCC=^ZC$4/12$7/8=O/5C^SC^SCNC(CCCCCC$19/20)Cl/16=O/15$3/14CO/2=O	1	1	28	20	4	3	0	0	1	6	4	1	5,5,5,6	3	0	4	C
*CNC^RC^RC^SC^SCOC/8=O/7$3/6CO/5CNCC=^ZCC=^ZC$4/20$15/16=O	1	1	20	14	4	2	0	0	0	0	3	0	5,5,5	2	1	4	C
*CNC^RC^SC^SC^SCNCC=^ZCC=^ZC$4/14$9/10=O/7$3/6CO/5CNCCF/21F/21F/18=O	1	1	24	15	3	3	0	0	3	0	3	0	5,6,6	2	0	2	C
*CNC^S(CCCCCC$5/9)Br(/6)NC^RC^SCC$3/14$4/13CO/2=O	1	1	18	13	2	2	0	0	1	6	3	1	5,5,6	1	0	2	C
*CNC^S(CCCCCC$5/9)Br(/6)NC^SC^SCC$3/14$4/13CO/2=O	1	1	18	13	2	2	0	0	1	6	3	1	5,5,6	1	0	2	C
*CNC^S(CCCCCCCC$7/8N$5/10)OC(/6)CCCNC(CCCCCC$21/23)F/19CC$16/16C$3/4CO/2=O	1	1	32	25	3	3	0	0	1	15	5	3	5,6,6,6,6	1	0	1	C
*CNC^S(CCCCCCCC$7/8N$5/10)OC(/6)CCCNC(CNCCS$21)/19CC$16/16C$3/4CO/2=O	1	1	30	22	3	4	1	0	0	14	5	3	5,5,6,6,6	1	0	1	C
*CNC^S(CCCCCCCC$7/8N$5/10)OC(/6)CCCNSC/20=O/20=O/19CC$16/16C$3/4CO/2=O	1	1	28	19	5	3	1	0	0	9	4	2	5,6,6,6	1	0	1	C
*CNC^S(CCCCCCCC$7/8N$5/13)C(/10)OC(/6)CCCNC(CCCNCC$22)/21=O/20CC$17/17C$3/4CO/2=O	1	1	33	25	4	4	0	0	0	15	5	3	5,6,6,6,6	2	0	1	C
*CNC^S(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^RC^RCC$3/20$4/19CO/18C/2=O	1	1	25	20	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^S(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^RC^SCC$3/20$4/19CO/2=O	1	1	24	19	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^S(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^SC^RCC$3/20$4/19CO/18C/2=O	1	1	25	20	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^S(CCCCCCCCCCC$10/9C$5/12)F(/6)NC^SC^SCC$3/20$4/19CO/2=O	1	1	24	19	2	2	0	0	1	12	4	2	5,5,6,6	1	0	2	C
*CNC^SCNCCC=^ECCCC$9/8=^ZCC$5/7=O/6CC^RC^RC^RCNC/22C/21=O/20$4/19CO/18$3	1	1	26	20	3	3	0	0	0	0	4	0	5,5,5,6	2	0	1	C
*CNC^SCNCCC=^XCC/8=^ZCC$5/7=O/6CC^RC^RC^RCOC/19=O/18$4/17CO/16$3	1	1	23	17	4	2	0	0	0	0	3	0	5,5,6	2	1	3	C
*CNC^SC^RC^RC^RCNCC=^ZCC=^ZC$4/14$9/10=O/7$3/6CO/5CNCCF/21F/21F/18=O	1	1	24	15	3	3	0	0	3	0	3	0	5,6,6	2	0	2	C
*CNC^SC^SC^RC^RCOC/8=O/7$3/6CO/5CNCC=^ZCC=^ZC$4/20$15/16=O	1	1	20	14	4	2	0	0	0	0	3	0	5,5,5	2	1	4	C
*COC(CCCCCC$5/9)OC(/8)O(/7)OC/4=O	1	1	15	10	5	0	0	0	0	6	1	1	6	1	1	1	C
*COC*/4=O	1	1	4	2	2	0	0	0	0	0	0	0	-	1	1	1	C
*COCC/4=O	1	1	5	3	2	0	0	0	0	0	0	0	-	1	1	2	C
*COCC=^XC(CCCCCC$7/10)O/4=O	1	1	13	10	3	0	0	0	0	6	1	1	6	1	1	3	C
*COCCCCCC/2=O	1	1	9	7	2	0	0	0	0	0	0	0	-	1	1	6	C
*COC^RC^RC^RC=^ECCCC=^ECC$4/12C/8C/6OCC$5/18=C/17=O/2=O	1	1	20	16	4	0	0	0	0	0	2	0	5,10	2	2	1	C
*COC^RC^RC^RC=^ZCC^RCC=^ECC$4/12C/9OCC/16=O/8C/6OCC$5/22=C/21=O/2=O	1	1	24	18	6	0	0	0	0	0	2	0	5,10	3	3	2	C
*COC^RC^XC^RC^RC^RCC$4/9=C/8CCC^S$7/14C/13=O/6OCC$5/19=C/18=O/2=O	1	1	21	16	5	0	0	0	0	0	3	0	5,5,7	3	2	1	C
*COC^XC^SC^SNCC(CCCCCC$10/15)$5(/13)OCO($12)/7CCC$6/6C=^ECOC/23$4/5C/2=O	1	1	26	20	5	1	0	0	0	6	5	1	5,5,5,6,7	1	1	1	C
*C^R(CCCCCC$3/5)NS(CCCCCN$11/14)CF/17F/17F/10=O/10=O/2CC	1	1	23	15	2	2	1	0	3	12	2	2	6,6	0	0	3	C
*C^R(CCCCCC$3/6)O(/5)OC/2O	1	1	11	8	3	0	0	0	0	6	1	1	6	0	0	1	C
*C^RCC^RCCCCC^R$4/9C/5=^ZCC$2/4C	1	1	12	12	0	0	0	0	0	0	2	0	6,6	0	0	1	C
*C^RCO/2O	1	1	4	2	2	0	0	0	0	0	0	0	-	0	0	2	C
*C^RC^RCC^RC^SC^SC^RC^RC^SC=O/11O/10C/9CC$7/8CC$5/8C/7C/6CC$2/3OCCC$3/24=O	1	1	26	22	4	0	0	0	0	0	4	0	5,5,6,7	2	2	3	C
*C^RC^SC^SCC^RC^RC^RCC^SCC$7/10O/9C/9C/8CC$5/7C/6CC$3/4CC$2/4C/3C	1	1	23	22	1	0	0	0	0	0	4	0	5,6,6,6	0	0	1	C
*C^RC^SC^SCC^RC^RC^RCC^SOCCCCCCCCCCCCCCCC/12=O/10CC$7/9C/9C/8CC$5/7C/6CC$3/4CC$2/4C/3C	1	1	40	38	2	0	0	0	0	0	4	0	5,6,6,6	1	1	16	C
*C^S(CCCCCC$3/6)O(/5)OC/2O	1	1	11	8	3	0	0	0	0	6	1	1	6	0	0	1	C
