map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*1O(CCCCCC$3/7)OC(/6)C(CCCCCC$12/17)OC(/14)O(/13)O($5/4)*2/11=O	2	2	21	15	6	0	0	0	0	12	3	2	6,6,6	1	0	1	O
*1O(CCCCCC$3/7)OC(/6)C=^ZCCOCC$11/13=O/12CO($5/4)*2/18=O	2	2	19	13	6	0	0	0	0	6	3	1	6,6,6	2	2	1	O
*1O(CCCCCC$3/7)OC(/6)CC=CC/13C(/4)*2	2	2	14	12	2	0	0	0	0	6	1	1	6	0	0	4	O
*1O(CCCCCC$3/7)OC(/6)O(/5)OC(/4)*2	2	2	12	8	4	0	0	0	0	6	1	1	6	0	0	1	O
*1O(CCCCCC$3/7)OCCCC=C/12C/12C/11=^ZC($6/4)*2/10=O	2	2	17	14	3	0	0	0	0	6	2	1	6,6	1	1	4	O
*1O(CCCCCC$3/7)OCO($6/5)OC(/4)*2	2	2	12	8	4	0	0	0	0	6	2	1	5,6	0	0	1	O
*1O(CCCCCC$3/8)C(/7)O(/5)O(/4)*2	2	2	10	7	3	0	0	0	0	6	1	1	6	0	0	1	O
*1O(CCCCCC$3/8)C=^ZCCC/11C/11O(/7)O(/5)OC(/4)*2	2	2	16	12	4	0	0	0	0	6	1	1	6	0	0	4	O
*1O(CCCCCC$3/8)CC=CC/11C(/7)O(/6)C(/4)*2	2	2	14	12	2	0	0	0	0	6	1	1	6	0	0	4	O
*1O(CCCCCC$3/8)CC=CC/11C(/7)OC(/4)*2	2	2	14	12	2	0	0	0	0	6	1	1	6	0	0	4	O
*1O(CCCCCC$3/8)CC=^ECCCC=CC/15C/11C(/7)O(/5)O(/4)*2	2	2	19	16	3	0	0	0	0	6	1	1	6	0	0	8	O
*1O(CCCCCC$3/8)CC^RCC/11=C/10CC=CC/16C(/7)O(/5)OC(/4)*2	2	2	20	17	3	0	0	0	0	6	1	1	6	0	0	7	O
*1O(CCCCCC$3/8)CC^RCC/11=C/10CCCC/16=C(/7)O(/5)O(/4)*2	2	2	19	16	3	0	0	0	0	6	1	1	6	0	0	7	O
*1O(CCCCCC$3/8)CC^RCC/11=C/10O($7/4)*2	2	2	13	11	2	0	0	0	0	6	2	1	5,6	0	0	3	O
*1O(CCCCCC$3/8)CC^RCC/11=C/10O($7/5)O(/4)*2	2	2	14	11	3	0	0	0	0	6	2	1	5,6	0	0	3	O
*1O(CCCCCC$3/8)C^R(CCCCCC$10/13)O(/12)O/9CCO($7/5)O/19=O(/4)*2	2	2	21	15	6	0	0	0	0	12	3	2	6,6,6	1	1	0	O
*1O(CCCCCC$3/8)C^R(CCCCCC$10/13)O(/12)O/9C^SC(CCCCCC$20/25)O(/23)O(/21)O/18O($7/5)O(/4)*2	2	2	29	21	8	0	0	0	0	18	4	3	5,6,6,6	0	0	1	O
*1O(CCCCCC$3/8)O(/6)O(/4)*2	2	2	9	6	3	0	0	0	0	6	1	1	6	0	0	0	O
*1O(CCCCCC$3/8)OC(/6)C=^ZCCO($5/4)O*2/13=O	2	2	15	10	5	0	0	0	0	6	2	1	6,6	1	1	1	O
*1O(CCCCCC$3/8)OC(/6)CCCO(/4)*2	2	1	13	10	3	0	0	0	0	6	1	1	6	0	0	3	O
*1O(CCCCCC$3/8)OC(/6)CCCOCC=^EC(CCCCCC$18/21)O(/20)OC/15=O(/4)*2	2	2	26	20	6	0	0	0	0	12	2	2	6,6	1	1	3	O
*1O(CCCCCC$3/8)OC(/7)O(/4)*2	2	2	10	7	3	0	0	0	0	6	1	1	6	0	0	1	O
*1O(CCCCCC$3/8)OC(/7)OC(/4)*2	2	2	11	8	3	0	0	0	0	6	1	1	6	0	0	1	O
*1O(CCCCCCCCC$6/7N$3/5)OC(/4)*2	2	2	13	10	2	1	0	0	0	10	2	2	6,6	0	0	1	O
*1OC(CCCCCC$4/9)O(/7)O(/5)*2/3=O	2	2	11	7	4	0	0	0	0	6	1	1	6	1	1	1	O
*1OC(CCCCCC$4/9)O(/8)OC(/7)OC(/5)*2/3=O	2	2	14	9	5	0	0	0	0	6	1	1	6	1	1	1	O
*1OCC^R*3/4C^R(CCCCCC$7)/6(CCCCCC$13/17)OC(/16)OC(/15)OC(/11)OCO($10/8)*2/3=O	2	2	26	19	7	0	0	0	0	12	3	2	5,6,6	1	1	3	O
*1OCC^SC^S(CCCCCC$6/11)CO*2/12=O(/9)O(/8)O(/7)OCC^S$5/20O/19=O/4CCO/24=O/3=O	2	2	25	14	11	0	0	0	0	6	2	1	6,6	4	4	4	O
*1OCC^XN*2/5CCCC$4/3=O	2	2	9	6	2	1	0	0	0	0	1	0	6	1	1	1	O
*1OCN*2/4C=^ZCCN$3/8=N	2	2	8	4	1	3	0	0	0	0	1	0	6	0	0	0	O
*1OC^SC^S*2/4CC=^ECC$3/9=O/8Cl/7C=^ZCC=^ECC^RC^RC/17O/16C/13OC$6/3C	2	2	21	16	4	0	0	0	1	0	2	0	6,6	1	0	5	O
*1OC^SC^S*2/4CC=^ECC$3/9=O/8Cl/7C=^ZCC=^ECC^SCC/16C/13OC$6/3C	2	2	20	16	3	0	0	0	1	0	2	0	6,6	1	0	5	O
*=C(CCCCCC$3/6)OC(/5)OC	2	2	11	9	2	0	0	0	0	6	1	1	6	0	0	1	C
*=CC=^ECC=^ECC=^ECCCCCC/2O	2	2	13	12	1	0	0	0	0	0	0	0	-	0	0	12	C
*=CN	2	2	2	1	0	1	0	0	0	0	0	0	-	0	0	1	C
*C(CCCCCC$3/5)O	2	2	8	7	1	0	0	0	0	6	1	1	6	0	0	1	C
*C(CCCCCC$3/6)OCO($5)/2=O	2	2	11	8	3	0	0	0	0	6	2	1	5,6	1	0	1	C
*C(CCCCCC$3/7)OC(/6)O(/5)OC	2	2	12	9	3	0	0	0	0	6	1	1	6	0	0	1	C
*C(CCCCCCC$4/5NC$3)	2	2	10	9	0	1	0	0	0	9	2	2	5,6	0	0	1	C
*C=CCNCN$2/6=O/4=O	2	2	8	4	2	2	0	0	0	0	1	0	6	2	0	0	C
*C=CC^SCCCCC/4O	2	2	9	8	1	0	0	0	0	0	0	0	-	0	0	8	C
*CC(CCCCCC$4/5)OC$2/3=O	2	2	11	9	2	0	0	0	0	6	2	1	6,6	1	0	0	C
*CC(CCCCCC$4/7)CCCCCCCC	2	2	16	16	0	0	0	0	0	6	1	1	6	0	0	8	C
*CC=^ECC=^ZCCCCCC^XCC=^ECCO/15=O/13C/11C/9=C	2	2	19	17	2	0	0	0	0	0	0	0	-	1	1	14	C
*CC=^XCCCCCO/8=O	2	2	9	7	2	0	0	0	0	0	0	0	-	1	1	7	C
*CC=^ZCCCCCO/8=O	2	2	9	7	2	0	0	0	0	0	0	0	-	1	1	7	C
*CCC=^ECCCCCCCCC$8/13C/9C/9C/5C	2	2	16	16	0	0	0	0	0	0	1	0	6	0	0	6	C
*CCCC/2=O	2	2	5	4	1	0	0	0	0	0	0	0	-	1	0	4	C
*CCCCC	2	2	5	5	0	0	0	0	0	0	0	0	-	0	0	5	C
*CCCCCC$2	2	2	6	6	0	0	0	0	0	0	1	0	6	0	0	0	C
*CCCC^RC^RC^RC^SC^RC^SC^SC^SCC^RCC$11/14O/12CC^R$9/19O/11C/10CC^S$7/23O/8CC$6/7C/5C	2	2	27	24	3	0	0	0	0	0	4	0	5,6,6,6	0	0	5	C
*CCC^RC^SC^RC^SC^SCCCC$7/9C/9C/8CC$5/7C/6CCC=^ECOSO/23=O/23=O/20$4/5C	2	2	26	21	4	0	1	0	0	0	3	0	6,6,6	0	0	2	C
*CCO	2	2	3	2	1	0	0	0	0	0	0	0	-	0	0	2	C
*CC^RCC^RC^ROCCO/6CC$3/5OC	2	2	13	10	3	0	0	0	0	0	1	0	6	0	0	2	C
*CC^SCO/4=O/3N	2	2	6	3	2	1	0	0	0	0	0	0	-	1	1	3	C
*CC^XCC^XC=^ECCOC/8=O/7C/5C/3C	2	2	13	11	2	0	0	0	0	0	0	0	-	1	1	7	C
*CN(CCCCCCCCCC$8/7CCCNCN$4/16$5/11)OCO($10)	2	2	21	16	2	3	0	0	0	16	4	3	5,6,6,6	0	0	1	C
*CO*	2	2	2	1	1	0	0	0	0	0	0	0	-	0	0	1	C
*COC(CCCCN$5)/4=O	2	2	9	6	2	1	0	0	0	5	1	1	5	1	1	1	C
*COCC*/2=O	2	1	5	3	2	0	0	0	0	0	0	0	-	1	1	2	C
*COCCC^SNCC$5/7CCC$6/2=O	2	2	12	9	2	1	0	0	0	0	2	0	5,5	1	1	1	C
*COC^RC^RC^RC=^ZCC^SCC=^ECC$4/12C/9OCC/16=O/8C/6OCC$5/22=C/21=O/2=O	2	2	24	18	6	0	0	0	0	0	2	0	5,10	3	3	2	C
*COC^SC^SC^RNCC(CCCCCC$10/15)$5(/13)OCO($12)/7CCC$6/6C=^ECOC/23$4/2=O	2	2	25	19	5	1	0	0	0	6	5	1	5,5,5,6,7	1	1	1	C
*C^RC/2O	2	1	3	2	1	0	0	0	0	0	0	0	-	0	0	2	C
*C^RC^RCC(CCCCCC$6/9)C(/8)O(/7)CO/14=O/3C/2O	2	2	17	13	4	0	0	0	0	6	1	1	6	1	1	4	C
*C^RC^RCCCC/3C/2O	2	2	8	7	1	0	0	0	0	0	0	0	-	0	0	6	C
*C^RC^SCC^RC^RC^RC^RCCC=^ZC$7/10=O/9C/9C/8CC^R$5/17O/7C/6CC$3/5C/4=^ECC$2/3C	2	2	24	22	2	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
*C^RC^SC^SCC^RC^RC^RCCCC$7/10=O/9C/9C/8CC$5/7C/6CC$3/4CC$2/4C/3C	2	2	23	22	1	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
*C^SC=^ZCC^RC^R(CCCOC$7)/6OCC$4/13=O/5CC$2/5C/3C	2	2	18	15	3	0	0	0	0	5	3	1	5,6,6	1	1	1	C
*C^SCCCCC/2O	2	2	7	6	1	0	0	0	0	0	0	0	-	0	0	6	C
*C^SC^RC^RCCC^SC^RCCCC$7/10=O/9C/9C/8CC$5/7C/6=^ZCC$3/4CC$2/4C/3C	2	2	23	22	1	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
*C^SC^RC^SC=^ECC=^ZCCC^SCC^RC$8/12O/10O/9=C/5CCC$3/4CC$2/3C	2	2	21	19	2	0	0	0	0	0	3	0	5,6,6	0	0	2	C
*C^SC^RC^SC^SC^SC^RC=^ZCCC=^ZC$7/10=O/8CC$5/7C/6CC$3/4CC$2/3C	2	2	20	19	1	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
*C^SN*/3CCC$2	2	2	5	4	0	1	0	0	0	0	1	0	5	0	0	0	C
*C^XCCC^XCC$2/5C/3=O	2	1	8	7	1	0	0	0	0	0	1	0	6	1	0	1	C
*N(CCCCCC$3/4)OC	2	2	9	7	1	1	0	0	0	6	1	1	6	0	0	1	N
*N(CCCCCC$3/5)Cl	2	2	8	6	0	1	0	0	1	6	1	1	6	0	0	0	N
*N(CCCCCC$3/6)CC/9C	2	2	10	9	0	1	0	0	0	6	1	1	6	0	0	3	N
*N(CCCCCC$3/6)COC($5)	2	2	10	8	1	1	0	0	0	6	2	1	5,6	0	0	0	N
*N*/2CCCCN	2	2	6	4	0	2	0	0	0	0	0	0	-	0	0	4	N
*N*/2CCCCNCN/9=N	2	2	9	5	0	4	0	0	0	0	0	0	-	0	0	4	N
*NC(CCCCCC$4)/3=O/2C	2	2	10	8	1	1	0	0	0	6	1	1	6	1	0	1	N
*NC(CCCCCC$4/5)N=^ZC$2/3=O	2	2	11	8	1	2	0	0	0	6	2	1	6,6	1	0	0	N
*NC(CCCCCC$4/9)I(/8)NCC/12=O(/7)I(/6)NCC/17=O/16C(/5)I/3=O	2	2	21	12	3	3	0	0	3	6	1	1	6	3	0	2	N
*NC(CCCCCCCCCC$8/7CC$4/11)Cl	2	2	15	13	0	1	0	0	1	12	2	2	6,6	0	0	1	N
*NC(CNCCCCCC$6/7N$4)	2	2	11	8	0	3	0	0	0	9	2	2	5,6	0	0	1	N
*NC=^ECCNCN$3/7=O/5=O/4N	2	2	10	4	2	4	0	0	0	0	1	0	6	2	0	0	N
*NC=^ZC(CCCCCC$5/8)O(/7)Cl	2	2	11	8	1	1	0	0	1	6	1	1	6	0	0	2	N
*NC=^ZOC/3C	2	2	5	3	1	1	0	0	0	0	0	0	-	1	0	2	N
*NCC(CCSCN$5)	2	2	8	5	0	2	1	0	0	5	1	1	5	0	0	2	N
*NCC/3=O/2C	2	1	5	3	1	1	0	0	0	0	0	0	-	1	0	2	N
*NCC=^EC(CCCCCC$6)/3=O	2	2	11	9	1	1	0	0	0	6	1	1	6	1	0	3	N
*NCCCC/3=O	2	2	6	4	1	1	0	0	0	0	0	0	-	1	0	4	N
*NCCCCCCCCC/10C/3=O	2	2	12	10	1	1	0	0	0	0	0	0	-	1	0	9	N
*NCCCCCCCCCCC/12C/3=O	2	2	14	12	1	1	0	0	0	0	0	0	-	1	0	11	N
*NCCCCCCCCCCCC/3=O	2	2	14	12	1	1	0	0	0	0	0	0	-	1	0	12	N
*NCCCCCCCCCCCCCC/15C/3=O	2	2	17	15	1	1	0	0	0	0	0	0	-	1	0	14	N
*NCCCCCCCCCCCCCCCCCCCCCCCCCC/3=O	2	2	28	26	1	1	0	0	0	0	0	0	-	1	0	26	N
*NCCCCNCN/8=N	2	2	9	5	0	4	0	0	0	0	0	0	-	0	0	4	N
*NCCC^ROCCCCCCCCC=^ZCCCCCCC/7=O/5CCCCCCCCCCC/3=O	2	2	34	30	3	1	0	0	0	0	0	0	-	2	1	16	N
*NCCC^ROCCCCCCCCCCCCCC/7=O/5CCCCCCCCCCC/3=O	2	1	32	28	3	1	0	0	0	0	0	0	-	2	1	14	N
*NCCC^ROCCCCCCCCCCCCCCCC/7=O/5CCCCCCCCCCC/3=O	2	1	34	30	3	1	0	0	0	0	0	0	-	2	1	16	N
*NCCC^ROCC^XCCCCCCCCCCCCCCCCCCCCCC/8O/7=O/5CCCCCCCCCCCCCCC/3=O	2	2	47	42	4	1	0	0	0	0	0	0	-	2	1	24	N
*NCCC^SCCCNCCC^SCCCN/12N/10=O/5N/3=O	2	2	19	12	2	5	0	0	0	0	0	0	-	2	0	6	N
*NCCC^SNCC/7=O/5CCCN/3=O	2	2	13	8	2	3	0	0	0	0	0	0	-	2	0	6	N
*NCCC^XOCCCCCCCCCCCC/7=O/5CCCCCCCCCCC/3=O	2	1	30	26	3	1	0	0	0	0	0	0	-	2	1	14	N
*NCCCl	2	2	4	2	0	1	0	0	1	0	0	0	-	0	0	2	N
*NCCN/4=O/3=O	2	2	6	2	2	2	0	0	0	0	0	0	-	2	0	2	N
*NCCNCCCCCCCCCCCCCCC/19C/6=O/3=O	2	2	22	18	2	2	0	0	0	0	0	0	-	2	0	15	N
*NCCNCCNC(CCCCCCC$11/12CCC$10/16)C$8/20=O/9=O/5CC$2	2	2	23	18	2	3	0	0	0	10	4	2	6,6,6,6	2	0	2	N
*NCCNCNCCOCC$7/6=O	2	2	12	7	2	3	0	0	0	0	1	0	6	1	0	2	N
*NCCO/4=O	2	2	5	2	2	1	0	0	0	0	0	0	-	1	1	2	N
*NCC^RC/4O/3=O	2	2	6	3	2	1	0	0	0	0	0	0	-	1	0	3	N
*NCC^SC(CCCCCC$6/9)O/4N/3=O	2	2	13	9	2	2	0	0	0	6	1	1	6	1	0	3	N
*NCC^XC(CCCCCC$6/9)OC/4N/3=O	2	2	14	10	2	2	0	0	0	6	1	1	6	1	0	3	N
*NCC^XC^XOCN/7=O/5C/4C/3=O	2	2	11	6	3	2	0	0	0	0	0	0	-	2	1	4	N
*NCC^XOC/4C/3=O	2	1	7	4	2	1	0	0	0	0	0	0	-	1	0	3	N
*NCN*/3=O	2	2	4	1	1	2	0	0	0	0	0	0	-	1	0	1	N
*NCNCC=^ZC/6C/5=O/3=O/2$7	2	1	9	5	2	2	0	0	0	0	1	0	6	2	0	1	N
*NCS*/3=O	2	2	4	1	1	1	1	0	0	0	0	0	-	1	0	1	N
*NC^R(CCCCCC$4)/3CO	2	2	10	8	1	1	0	0	0	6	1	1	6	0	0	2	N
*NC^SCC^ROCCCCC/7=O/5CCCCCCCC/3O	2	2	20	16	3	1	0	0	0	0	0	0	-	1	1	11	N
*NC^SCO/4=O/3CCCO/9=O	2	2	10	5	4	1	0	0	0	0	0	0	-	2	2	5	N
*NC^SC^SC(CCCCCC$6/8)O(/7)CO$4/13=O/3CCC/17C	2	2	18	14	3	1	0	0	0	6	2	1	6,6	1	1	4	N
*NC^SC^SC^SC^RC^RCO/7C$3/6O/5O/4O	2	1	12	7	4	1	0	0	0	0	1	0	6	0	0	1	N
*NC^XCC/4C/4O/3CSC/8=O	2	2	10	6	2	1	1	0	0	0	0	0	-	1	0	4	N
*O(CCCCCC$3/4)CC(CCCCCC$11/13)OC	2	2	17	15	2	0	0	0	0	12	2	2	6,6	0	0	2	O
*O(CCCCCC$3/4)CC/9C/9C	2	2	11	10	1	0	0	0	0	6	1	1	6	0	0	3	O
*O(CCCCCC$3/4)CC=C	2	2	10	9	1	0	0	0	0	6	1	1	6	0	0	3	O
*O(CCCCCC$3/4)CCC(CCCCCC$12)/9=O	2	2	17	15	2	0	0	0	0	12	2	2	6,6	1	0	3	O
*O(CCCCCC$3/4)CO	2	2	9	7	2	0	0	0	0	6	1	1	6	0	0	1	O
*O(CCCCCC$3/4)Cl	2	2	8	6	1	0	0	0	1	6	1	1	6	0	0	0	O
*O(CCCCCC$3/5)C(/4)C	2	2	9	8	1	0	0	0	0	6	1	1	6	0	0	1	O
*O(CCCCCC$3/5)CC^RC^SC($4)/11O/10O	2	2	13	10	3	0	0	0	0	6	2	1	6,6	0	0	0	O
*O(CCCCCC$3/5)CC^SC^RC($4)/11O/10O	2	2	13	10	3	0	0	0	0	6	2	1	6,6	0	0	0	O
*O(CCCCCC$3/5)C^XCCC($4)/9O	2	2	12	10	2	0	0	0	0	6	2	1	6,6	0	0	0	O
*O(CCCCCC$3/5)OCCO/11=O/10=^ZCC($4)/15=O	2	2	15	10	5	0	0	0	0	6	2	1	6,6	2	1	1	O
*O(CCCCCC$3/5)OCCOCC/11=O/10=^ZCC($4)/17=O	2	2	17	12	5	0	0	0	0	6	2	1	6,6	2	1	2	O
*O(CCCCCC$3/5CCCN$4)	2	2	11	9	1	1	0	0	0	10	2	2	6,6	0	0	0	O
*O(CCCCCC$3/6)C(/5)CCC($4)	2	2	11	10	1	0	0	0	0	6	2	1	5,6	0	0	1	O
*O(CCCCCC$3/6)C(CCCCCC$10/15)O(/13)OCC=^ZC($12/11)O($5/4)O/18C/18C/9=O	2	2	24	18	6	0	0	0	0	12	4	2	6,6,6,6	1	0	1	O
*O(CCCCCC$3/6)C=^ECC(/4)OC	2	2	12	10	2	0	0	0	0	6	1	1	6	0	0	3	O
*O(CCCCCC$3/6)C=^ECCO(/4)OC	2	2	13	10	3	0	0	0	0	6	1	1	6	0	0	3	O
*O(CCCCCC$3/6)C=^ECCO/11=O(/4)OC	2	2	14	10	4	0	0	0	0	6	1	1	6	1	1	3	O
*O(CCCCCC$3/6)CC/9=O(/5)O(/4)CCC	2	2	14	11	3	0	0	0	0	6	1	1	6	1	0	3	O
*O(CCCCCC$3/6)CN/9=N(/4)Br	2	2	11	7	1	2	0	0	1	6	1	1	6	0	0	1	O
*O(CCCCCC$3/6)F(/5)F	2	2	9	6	1	0	0	0	2	6	1	1	6	0	0	0	O
*O(CCCCCC$3/6)NCC/10=O	2	2	11	8	2	1	0	0	0	6	1	1	6	1	0	2	O
*O(CCCCCC$3/6)OCCO/11=O	2	2	12	8	4	0	0	0	0	6	1	1	6	1	1	2	O
*O(CCCCCC$3/8)OC(/6)CC^RC^SC(CCCCCC$15/18)O(/17)OC/13C/12C(/4)OC	2	2	26	21	5	0	0	0	0	12	2	2	6,6	0	0	4	O
*O(CCCCCCC$4/5NC$3)	2	2	10	8	1	1	0	0	0	9	2	2	5,6	0	0	0	O
*O(CCCCCNCNC$6/11C$3/7)N(CCCCCC$14/17)F(/16)Cl(/4)NCC=^XCCNC/27C/23=O	2	2	29	20	2	5	0	0	2	16	3	3	6,6,6	1	0	4	O
*O(CCCCNCCCC$3/8$4/6CCCC$5)	2	2	14	12	1	1	0	0	0	13	3	3	5,6,6	0	0	0	O
*O(CCCNCC$4/5CCC$3/7)C	2	2	11	9	1	1	0	0	0	9	2	2	5,6	0	0	1	O
*OC(CCCCCC$4/5)NC/3=O	2	2	11	8	2	1	0	0	0	6	1	1	6	1	1	1	O
*OC(CCCCCC$4/6)I	2	2	9	7	1	0	0	0	1	6	1	1	6	0	0	1	O
*OC(CCCCCC$4/6)OC	2	1	10	8	2	0	0	0	0	6	1	1	6	0	0	1	O
*OC(CCCCCC$4/7)Cl	2	2	9	7	1	0	0	0	1	6	1	1	6	0	0	1	O
*OC(CCCCCC$4/7)O(/6)OC/3=O	2	1	12	8	4	0	0	0	0	6	1	1	6	1	1	1	O
*OC(CCCCCC$4/7)OC(/6)OC/3=O	2	2	13	9	4	0	0	0	0	6	1	1	6	1	1	1	O
*OC(CCCCCC$4/8)OC(/7)OC(/6)OC/3=O	2	2	15	10	5	0	0	0	0	6	1	1	6	1	1	1	O
*OC(CCCCCC$4/9)C(/7)O(/5)O/3=O	2	2	12	8	4	0	0	0	0	6	1	1	6	1	1	1	O
*OC(CCCCCC$4/9)O(/7)O(/5)C/3=O	2	2	12	8	4	0	0	0	0	6	1	1	6	1	1	1	O
*OC(CCCCNC$4/6)Br/3=O	2	2	10	6	2	1	0	0	1	6	1	1	6	1	1	1	O
*OC(CNCCCCCC$6/7CC$4)/3=O	2	2	13	10	2	1	0	0	0	10	2	2	6,6	1	1	1	O
*OC=^ECC	2	2	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*OC=^ZCC	2	2	4	3	1	0	0	0	0	0	0	0	-	0	0	3	O
*OC=^ZCCCCCCCCCCCCC	2	2	15	14	1	0	0	0	0	0	0	0	-	0	0	14	O
*OCC*/3C/3C	2	1	5	4	1	0	0	0	0	0	0	0	-	0	0	3	O
*OCC=^EC(CCCCCC$6/9)OC/3=O	2	1	13	10	3	0	0	0	0	6	1	1	6	1	1	3	O
*OCC=^ECC^SCCCCCCCCCCCCCCCCCC/6C/4C/3=O	2	2	26	24	2	0	0	0	0	0	0	0	-	1	1	22	O
*OCC=^XC(CCCCCC$6/9)O/3=O	2	2	12	9	3	0	0	0	0	6	1	1	6	1	1	3	O
*OCC=^ZC(CCCCCC$6/10)OC(/7)O/3=O	2	2	14	10	4	0	0	0	0	6	1	1	6	1	1	3	O
*OCC=^ZC(CCCCCC$6/9)O(/8)O/3=O	2	2	13	9	4	0	0	0	0	6	1	1	6	1	1	3	O
*OCC=^ZC(CCCCCC$6/9)O(/8)OC/3=O	2	2	14	10	4	0	0	0	0	6	1	1	6	1	1	3	O
*OCC=^ZC(CCCCCC$6/9)OC/3=O	2	1	13	10	3	0	0	0	0	6	1	1	6	1	1	3	O
*OCCC/4=C/3=O	2	2	6	4	2	0	0	0	0	0	0	0	-	1	1	3	O
*OCCCC=^ZCCCCCC/3=O	2	2	12	10	2	0	0	0	0	0	0	0	-	1	1	10	O
*OCCCCC$3	2	2	6	5	1	0	0	0	0	0	1	0	5	0	0	0	O
*OCCCCC=O/3=O	2	2	8	5	3	0	0	0	0	0	0	0	-	2	1	5	O
*OCCCCC=^ECC=^ECC=^ECC=^ECC=^ECC=^ECC=^ECC=^ECC=^ECC=^ECC=^ECC=^ECC=CC/32C/28C/24C/20C/15C/11C/7C/3C/3C	2	2	41	40	1	0	0	0	0	0	0	0	-	0	0	32	O
*OCCCCC=^ECCC=^ECCC=^ECCC=^ECCCCCC/3=O	2	2	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*OCCCCC=^ZCCC=^ZCCC=^ZCCC=^ZCCCCCC	2	2	21	20	1	0	0	0	0	0	0	0	-	0	0	20	O
*OCCCCC=^ZCCC=^ZCCC^RC=^ECC=^ZCCCCCC/13O/3=O	2	2	23	20	3	0	0	0	0	0	0	0	-	1	1	20	O
*OCCCCC=^ZCCC^RC^RC=^ECC^SCCCCC/14O/11CCC^S$10/23O/21=O/3=O	2	2	25	20	5	0	0	0	0	0	1	0	5	2	1	8	O
*OCCCCC=^ZCCC^RC^RC=^ECC^SCCCCC/14O/11C^RCC^S$10/23O/21O/3=O	2	2	25	20	5	0	0	0	0	0	1	0	5	1	1	8	O
*OCCCCC=^ZCCC^SC^RC=^ECC^SCCCCC/14O/11C^RCC^S$10/23O/21O/3=O	2	2	25	20	5	0	0	0	0	0	1	0	5	1	1	8	O
*OCCCCCC$3	2	2	7	6	1	0	0	0	0	0	1	0	6	0	0	0	O
*OCCCCCCC	2	2	8	7	1	0	0	0	0	0	0	0	-	0	0	7	O
*OCCCCCCC=^ZCCCCCCC/3=O	2	2	16	14	2	0	0	0	0	0	0	0	-	1	1	14	O
*OCCCCCCC=^ZCCCCCCCCC/3=O	2	2	18	16	2	0	0	0	0	0	0	0	-	1	1	16	O
*OCCCCCCCCC=^ZCC=^ZCCCCCCC/3=O	2	2	20	18	2	0	0	0	0	0	0	0	-	1	1	18	O
*OCCCCCCCCC=^ZCCCCCCCC/3=O	2	2	19	17	2	0	0	0	0	0	0	0	-	1	1	17	O
*OCCCCCCCCC=^ZCCCCCCCCCCC/3=O	2	2	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*OCCCCCCCCCCC/3=O	2	2	13	11	2	0	0	0	0	0	0	0	-	1	1	11	O
*OCCCCCCCCCCC=^ZCCC=^ZCCC=^ZCCC/3=O	2	2	22	20	2	0	0	0	0	0	0	0	-	1	1	20	O
*OCCCCCCCCCCC=^ZCCCCCCC	2	2	19	18	1	0	0	0	0	0	0	0	-	0	0	18	O
*OCCCCCCCCCCC=^ZCCCCCCCCCCC/3=O	2	2	24	22	2	0	0	0	0	0	0	0	-	1	1	22	O
*OCCCCCCCCCCCCC/3=O	2	2	15	13	2	0	0	0	0	0	0	0	-	1	1	13	O
*OCCCCCCCCCCCCC=^ZCCC=^ZCCCCCC	2	2	23	22	1	0	0	0	0	0	0	0	-	0	0	22	O
*OCCCCCCCCCCCCC=^ZCCCCCCCCC	2	2	23	22	1	0	0	0	0	0	0	0	-	0	0	22	O
*OCCCCCCCCCCCCCC/15C/3=O	2	2	17	15	2	0	0	0	0	0	0	0	-	1	1	14	O
*OCCCCCCCCCCCCCCC	2	2	16	15	1	0	0	0	0	0	0	0	-	0	0	15	O
*OCCCCCCCCCCCCCCCCC	2	2	18	17	1	0	0	0	0	0	0	0	-	0	0	17	O
*OCCCCCCCCCCCCCCCCCCC/3=O	2	2	21	19	2	0	0	0	0	0	0	0	-	1	1	19	O
*OCCCCCCCCCCCCCCCF/17F/17F/16F/16F/15F/15F/14F/14F/3=O	2	2	26	15	2	0	0	0	9	0	0	0	-	1	1	15	O
*OCCCCCCCCCCCC^XCC/14C/3=O	2	2	17	15	2	0	0	0	0	0	0	0	-	1	1	14	O
*OCCCCCCCCCC^RCCCCCCCC/12C/3=O	2	2	21	19	2	0	0	0	0	0	0	0	-	1	1	18	O
*OCCCCCCCCCOC/11=O	2	2	13	10	3	0	0	0	0	0	0	0	-	1	1	9	O
*OCCCCCCC^XC^XCC=^ZC$9/11=O/10CC=^ZCCC/3=O	2	1	19	16	3	0	0	0	0	0	1	0	5	2	1	6	O
*OCCCCCN	2	1	7	5	1	1	0	0	0	0	0	0	-	0	0	5	O
*OCCCCOCC/6=O/3=O	2	2	10	6	4	0	0	0	0	0	0	0	-	2	2	4	O
