rescode	glycans	smiles
A2122h_2*OSO/3=O/3=O_3*OSO/3=O/3=O_5*OSO/3=O/3=O_6*OSO/3=O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](COS(O)(=O)=O)OS(O)(=O)=O)O)OS(O)(=O)=O)OS(O)(=O)=O)(=O)O
A2122h_6*OC	1	C([C@@H]([C@H]([C@@H]([C@@H](COC)O)O)O)O)(=O)O
A2122h_6*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)O)(=O)O
A212h_1*OC	1	C([C@@H]([C@H]([C@@H](CO)O)O)O)(=O)OC
A212h_5*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H](COP(O)(O)=O)O)O)O)(=O)O
A21A	1	C([C@@H]([C@H](C(=O)O)O)O)(=O)O
A21h	1	C([C@@H]([C@H](CO)O)O)(=O)O
A21h_4*OPO/3O/3=O	1	C([C@@H]([C@H](COP(O)(O)=O)O)O)(=O)O
A2211A	1	C([C@@H]([C@@H]([C@H]([C@H](C(=O)O)O)O)O)O)(=O)O
A2212A	1	C([C@@H]([C@@H]([C@H]([C@@H](C(=O)O)O)O)O)O)(=O)O
A221A	1	C([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)(=O)O
A2221A	1	C([C@@H]([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O)(=O)O
A2222A	1	C([C@@H]([C@@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)(=O)O
A222h	1	C([C@@H]([C@@H]([C@@H](CO)O)O)O)(=O)O
A222h_1*N_5*OPO/3O/3=O	1	C([C@@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)(=O)N
A222h_1*OC	1	C([C@@H]([C@@H]([C@@H](CO)O)O)O)(=O)OC
A22A	1	C([C@@H]([C@@H](C(=O)O)O)O)(=O)O
A22h_1*N_4*OPO/3O/3=O	1	C([C@@H]([C@@H](COP(O)(O)=O)O)O)(=O)N
A22h_1*OC	1	C([C@@H]([C@@H](CO)O)O)(=O)OC
A22h_3*OPO/3O/3=O	1	C([C@@H]([C@@H](CO)OP(O)(O)=O)O)(=O)O
A22h_4*OPO/3O/3=O	1	C([C@@H]([C@@H](COP(O)(O)=O)O)O)(=O)O
A2h_1*OPO/3O/3=O_3*OPO/3O/3=O	1	C([C@@H](COP(O)(O)=O)O)(=O)OP(O)(O)=O
A2h_1*SC	1	C([C@@H](CO)O)(=O)SC
A2h_1*SC_3*OPO/3O/3=O	1	C([C@@H](COP(O)(O)=O)O)(=O)SC
A2h_2*OPO/3O/3=O	1	C([C@@H](CO)OP(O)(O)=O)(=O)O
A2h_2*OPO/3O/3=O_3*OPO/3O/3=O	1	C([C@@H](COP(O)(O)=O)OP(O)(O)=O)(=O)O
Adxh	1	C(CC(CO)O)(=O)O
Axdh	1	C(C(CCO)O)(=O)O
Axdxxxxh	1	C(C(CC(C(C(C(CO)O)O)O)O)O)(=O)O
Axh_1*OPO/3O/3=O_3*OPO/3O/3=O	1	C(C(COP(O)(O)=O)O)(=O)OP(O)(O)=O
